IEEE ACCESS,中科院二区
PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,中科院二区
KNOWLEDGE-BASED SYSTEMS,中科院二区
OPERATIONAL RESEARCH,中科院二区
NEUROCOMPUTING,中科院二区
IET INTELLIGENT TRANSPORT SYSTEMS,中科院四区
IET RENEWABLE POWER GENERATION,中科院二区
IET INTELLIGENT TRANSPORT SYSTEMS,中科院四区
JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS,中科院四区
NEURAL PROCESSING LETTERS,中科院四区
2019 15TH INTERNATIONAL CONFERENCE ON MOBILE AD-HOC AND SENSOR NETWORKS (MSN 2019),中科院四区
JOURNAL OF SENSORS,中科院四区
IEEE ACCESS,中科院二区
JOURNAL OF ADVANCED TRANSPORTATION,中科院4区
IEEE ACCESS,中科院二区
KNOWLEDGE-BASED SYSTEMS,中科院二区
ENERGY,中科院二区
2ND INTERNATIONAL CONFERENCE ON INFORMATION SYSTEM AND DATA MINING (ICISDM 2018),中科院四区
IEEE ACCESS,中科院二区
