JOURNAL OF ADVANCED TRANSPORTATION,中科院四区
SENSORS,中科院二区
KNOWLEDGE-BASED SYSTEMS,中科院二区
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT,中科院三区
IET INTELLIGENT TRANSPORT SYSTEMS,中科院四区
SOFT COMPUTING,中科院二区
MATHEMATICS,中科院四区
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,中科院二区
NEUROCOMPUTING,中科院二区
IEEE ACCESS,中科院二区
"""2023 3RD INTERNATIONAL CONFERENCE ON INFORMATION COMMUNICATION AND SOFTWARE ENGINEERING  ICICSE""",中科院四区
APPLIED SCIENCES-BASEL,中科院四区
MATHEMATICS,中科院四区
TRANSPORTATION RESEARCH RECORD,中科院四区
COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,中科院二区
WIRELESS COMMUNICATIONS & MOBILE COMPUTING,中科院二区
MATHEMATICS,中科院四区
JOURNAL OF TRANSPORTATION ENGINEERING PART A-SYSTEMS,中科院三区
MATHEMATICS,中科院四区
JOURNAL OF CENTRAL SOUTH UNIVERSITY,中科院二区
SUSTAINABILITY,中科院二区
APPLIED SOFT COMPUTING,中科院四区
"""ALGORITHMS AND ARCHITECTURES FOR PARALLEL PROCESSING  ICA3PP 2021  PT II""",中科院二区
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,中科院二区
COMPUTATIONAL INTELLIGENCE,中科院四区
PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,中科院二区
IET INTELLIGENT TRANSPORT SYSTEMS,中科院四区
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,中科院二区
COMPLEXITY,中科院二区
COMPUTERS & INDUSTRIAL ENGINEERING,中科院三区
NEUROCOMPUTING,中科院二区
INFORMATION SCIENCES,中科院二区
INTERNATIONAL CONFERENCE ON SMART TRANSPORTATION AND CITY ENGINEERING 2021,中科院二区
2020 25TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION (ICPR),中科院二区
28TH EUROPEAN SIGNAL PROCESSING CONFERENCE (EUSIPCO 2020),中科院四区
JOURNAL OF ADVANCED TRANSPORTATION,中科院四区
COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE,中科院三区
ELECTRONICS,中科院一区
JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING,中科院三区
JOURNAL OF COMPUTATIONAL PHYSICS,中科院二区
SOFT COMPUTING,中科院二区
NEURAL COMPUTING & APPLICATIONS,中科院二区
HEALTH INFORMATICS JOURNAL,中科院二区
CHAOS,中科院一区
APPLIED SOFT COMPUTING,中科院四区
,
"""2020 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS  MAN  AND CYBERNETICS (SMC)""",中科院四区
IEEE ACCESS,中科院二区
IEEE ACCESS,中科院二区
IEEE ACCESS,中科院二区
APPLIED ENERGY,中科院一区
IEEE ACCESS,中科院二区
PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,中科院二区
KNOWLEDGE-BASED SYSTEMS,中科院二区
OPERATIONAL RESEARCH,中科院二区
NEUROCOMPUTING,中科院二区
IET INTELLIGENT TRANSPORT SYSTEMS,中科院四区
IET RENEWABLE POWER GENERATION,中科院二区
IET INTELLIGENT TRANSPORT SYSTEMS,中科院四区
JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS,中科院四区
NEURAL PROCESSING LETTERS,中科院四区
,
2019 15TH INTERNATIONAL CONFERENCE ON MOBILE AD-HOC AND SENSOR NETWORKS (MSN 2019),中科院四区
IEEE ACCESS,中科院二区
JOURNAL OF ADVANCED TRANSPORTATION,中科院四区
JOURNAL OF SENSORS,中科院四区
IEEE ACCESS,中科院二区
KNOWLEDGE-BASED SYSTEMS,中科院二区
ENERGY,中科院二区
2ND INTERNATIONAL CONFERENCE ON INFORMATION SYSTEM AND DATA MINING (ICISDM 2018),中科院四区
IEEE ACCESS,中科院二区
