CLES,中科院二区
IEEE ACCESS,中科院二区
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,中科院二区
SENSORS,中科院二区
JOURNAL OF SENSORS,中科院四区
CICTP 2020: TRANSPORTATION EVOLUTION IMPACTING FUTURE MOBILITY,中科院二区
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,中科院二区
NEURAL COMPUTING & APPLICATIONS,中科院二区
CHINESE JOURNAL OF MECHANICAL ENGINEERING,中科院二区
MATHEMATICS,中科院四区
2020 2ND IEEE INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE CIRCUITS AND SYSTEMS (AICAS 2020),中科院四区
"2023 3RD ASIA-PACIFIC CONFERENCE ON COMMUNICATIONS TECHNOLOGY AND COMPUTER SCIENCE, ACCTCS",中科院四区
NEURAL PROCESSING LETTERS,中科院四区
"PROCEEDINGS OF THE 23RD INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS (ICEIS 2021), VOL 1",中科院四区
IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS,中科院二区
JOURNAL OF SUPERCOMPUTING,中科院二区
JOURNAL OF REAL-TIME IMAGE PROCESSING,中科院四区
CHINA COMMUNICATIONS,中科院二区
REMOTE SENSING,中科院二区
INTERNATIONAL JOURNAL OF AD HOC AND UBIQUITOUS COMPUTING,中科院四区
APPLIED INTELLIGENCE,中科院二区
APPLIED SCIENCES-BASEL,中科院四区
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,中科院四区
2020 25TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION (ICPR),中科院二区
IEEE SENSORS JOURNAL,中科院二区
MICRON,中科院二区
"ARTIFICIAL INTELLIGENCE IN HCI, AI-HCI 2023, PT II",未分区
2021 4TH INTERNATIONAL CONFERENCE ON INTELLIGENT AUTONOMOUS SYSTEMS (ICOIAS 2021),未分区
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,中科院二区
