CG-CFPANet: a multi-task network for built-up area extraction from SDGSAT-1 and Sentinel-2 remote sensing images,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001154180500001,[],2024,JCR 一区,"Wang Lei, Chinese Academy of Sciences","Ye Cheng, Guilin University of Electronic Technology","Chen Fang, Chinese Academy of Sciences","Wang Ning, ","Li Congrong, Chinese Academy of Sciences","Zhang Haiying, Chinese Academy of Sciences","Wang Yu, ","Yu Bo, Chinese Academy of Sciences"
Two-stage re-parameterization and sample disentanglement network for surveillance vehicle detection,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001269877500001,[],2024,JCR 一区,"Xie Wei, South China University of Technology","Liu Weiming, South China University of Technology","Dai Yuan, Xiangtan University","","","","",""
Accurate Representation Modeling and Interindividual Constraint Learning for Roadside Three-Dimensional Object Detection,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001317721100001,[],2024,JCR 一区,"Zhu Jianxiao, Southeast University - China","Li Xu, Southeast University - China","Xu Qimin, Southeast University - China","He Xiang, Southeast University - China","Wang Benwu, Southeast University - China","","",""
An efficient model for small object detection in the maritime environment,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001303125800001,APPLIED OCEAN RESEARCH,2024,JCR 一区,"Shao Zeyuan, Dalian Maritime University","Yin Yong, Dalian Maritime University","Lyu Hongguang, Dalian Maritime University","Soares C. Guedes, Universidade de Lisboa","Cheng Tao, ","Jing Qianfeng, Dalian Maritime University","Yang Zhilin, Dalian Maritime University",""
A Step-Wise Domain Adaptation Detection Transformer for Object Detection under Poor Visibility Conditions,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001287241600001,[],2024,JCR 一区,"Zhang Gege, Sun Yat Sen University","Wang Luping, Sun Yat Sen University","Chen Zengping, Sun Yat Sen University","","","","",""
Enhancing vehicle detection in intelligent transportation systems via autonomous UAV platform and YOLOv8 integration,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001282573800001,[],2024,JCR 一区,"Bakirci Murat, Tarsus University","","","","","","",""
Smart traffic management of vehicles using faster R-CNN based deep learning method,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001253949600045,[],2024,JCR 一区,"Chaudhuri Arindam, ","","","","","","",""
NRPerson: A Non-Registered Multi-Modal Benchmark for Tiny Person Detection and Localization,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001219855100001,[],2024,JCR 一区,"Yang Yi, Chinese Academy of Sciences","Han Xumeng, Chinese Academy of Sciences","Wang Kuiran, Chinese Academy of Sciences","Yu Xuehui, Chinese Academy of Sciences","Yu Wenwen, Chinese Academy of Sciences","Wang Zipeng, Chinese Academy of Sciences","Li Guorong, Chinese Academy of Sciences","Han Zhenjun, Chinese Academy of Sciences"
A lightweight vehicle detection network fusing feature pyramid and channel attention,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001221577000001,[],2024,JCR 一区,"Lu Jian, Xi'an Polytechnic University","Huang Tingting, Xi'an Polytechnic University","Zhang Qi, ","Chen Xiaogai, Xi'an Polytechnic University","Zhou Jian, Xi'an Polytechnic University","","",""
Detection Technique Tailored for Small Targets on Water Surfaces in Unmanned Vessel Scenarios,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001192717100001,JOURNAL OF MARINE SCIENCE AND ENGINEERING,2024,JCR 一区,"Zhang Jian, Harbin Engineering University","Huang Wenbin, Northwestern Polytechnical University","Zhuang Jiayuan, Harbin Engineering University","Zhang Renran, Harbin Engineering University","Du Xiang, Harbin Engineering University","","",""
AlexDarkNet: Hybrid CNN architecture for real-time Traffic monitoring with unprecedented reliability,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001168585300002,[],2024,JCR 二区,"Joshi Rakhi Madhukarrao, Koneru Lakshmaiah Education Foundation (K L Deemed to be University)","Rao D. S., Koneru Lakshmaiah Education Foundation (K L Deemed to be University)","","","","","",""
Super-Resolution GAN and Global Aware Object Detection System for Vehicle Detection in Complex Traffic Environments,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001297342700001,IEEE ACCESS,2024,JCR 二区,"Wang Hongqing, Universiti Kebangsaan Malaysia","Chaw Jun Kit, Universiti Kebangsaan Malaysia","Goh Sim Kuan, Xiamen University Malaysia Campus","Shi Liantao, Shenzhen Polytechnic University","Tin Ting Tin, INTI International University","Huang Nannan, Universiti Kebangsaan Malaysia","Gan Hong-Seng, Xi'an Jiaotong-Liverpool University",""
INTEGRATION OF DEEP LEARNING MODELS FOR VEHICLE COUNTING: TOWARDS OPTIMIZED PLANNING OF URBAN CHARGING INFRASTRUCTURES,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001234953400011,"8TH INTERNATIONAL CONFERENCE ON GEOINFORMATION ADVANCES, GEOADVANCES 2024, VOL. 48-4",2024,JCR 一区,"Benayad Mohamed, Hassan II University of Casablanca","Rochd Abdelilah, ","Houran Nouriddine, ","Simou Mohamed Rabii, Hassan II University of Casablanca","Maanan Mehdi, Hassan II University of Casablanca","Rhinane Hassan, Hassan II University of Casablanca","",""
Oriented Ship Detection Based on Soft Thresholding and Context Information in SAR Images of Complex Scenes,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001129141000038,[],2024,JCR 一区,"Zhang Chuan, Southwest Jiaotong University","Gao Gui, Southwest Jiaotong University","Liu Jia, ","Duan Dingfeng, Southwest Jiaotong University","","","",""
Multi-Pedestrian Tracking Based on KC-YOLO Detection and Identity Validity Discrimination Module,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001119917800001,[],2023,JCR 二区,"Li Jingwen, Guilin University of Technology","Wu Wei, Guilin University of Technology","Zhang Dan, ","Fan Dayong, ","Jiang Jianwu, Guilin University of Technology","Lu Yanling, Guilin University of Technology","Gao Ertao, Guilin University of Technology","Yue Tao, Guilin University of Technology"
