CG-CFPANet: a multi-task network for built-up area extraction from SDGSAT-1 and Sentinel-2 remote sensing images,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001154180500001,[],2024.0,JCR 一区,"Wang Lei, Chinese Academy of Sciences","Ye Cheng, Guilin University of Electronic Technology","Chen Fang, Chinese Academy of Sciences","Wang Ning, ","Li Congrong, Chinese Academy of Sciences","Zhang Haiying, Chinese Academy of Sciences","Wang Yu, ,IEEE Fellow, Distinguished Member of the Association for Computing Machinery","Yu Bo, Chinese Academy of Sciences"
An efficient model for small object detection in the maritime environment,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001303125800001,APPLIED OCEAN RESEARCH,2024.0,JCR 一区,"Shao Zeyuan, Dalian Maritime University","Yin Yong, Dalian Maritime University","Lyu Hongguang, Dalian Maritime University","Soares C. Guedes, Universidade de Lisboa,葡萄牙工程院院士","Cheng Tao, ","Jing Qianfeng, Dalian Maritime University","Yang Zhilin, Dalian Maritime University",
Towards Large-Scale Small Object Detection: Survey and Benchmarks,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001085050900039,[],2023.0,JCR 一区,"Cheng Gong, Northwestern Polytechnical University,国家级青年人才","Yuan Xiang, Northwestern Polytechnical University","Yao Xiwen, Northwestern Polytechnical University","Yan Kebing, Northwestern Polytechnical University","Zeng Qinghua, Northwestern Polytechnical University","Xie Xingxing, Northwestern Polytechnical University","Han Junwei, Northwestern Polytechnical University,IEEE Fellow，IAPR Fellow，IEEE TPAMI编委。科睿唯安全球“高被引科学家”（两个领域），爱思唯尔中国“高被引学者”， 全球Top1000计算机科学家，高层次人才CJ学者特聘教授，入选国家级高层次人才计划，国家优青",
Select Informative Samples for Night-Time Vehicle Detection Benchmark in Urban Scenes,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001065131600001,REMOTE SENSING,2023.0,JCR 二区,"Wang Xiao, Wuhan University of Science & Technology","Tu Xingyue, Wuhan University of Science & Technology","Al-Hassani Baraa, Wuhan University of Science & Technology","Lin Chia-Wen, National Tsing Hua University,IEEE Fellow","Xu Xin, Wuhan University of Science & Technology",,,
Latency-Aware Task Scheduling in Software-Defined Edge and Cloud Computing With Erasure-Coded Storage Systems,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001004238600035,IEEE TRANSACTIONS ON CLOUD COMPUTING,2023.0,JCR 一区,"Tang Jianhang, Yanshan University","Jalalzai Mohammad M., University of British Columbia","Feng Chen, University of British Columbia","Xiong Zehui, Singapore University of Technology & Design","Zhang Yang, Nanjing University of Aeronautics & Astronautics",,,
Representative Feature Alignment for Adaptive Object Detection,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000941726100017,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,2023.0,JCR 一区,"Xu Shan, South China University of Technology","Zhang Huaidong, South China University of Technology","Xu Xuemiao, South China University of Technology","Hu Xiaowei, Shanghai AI Lab","Xu Yangyang, South China University of Technology","Dai Liangui, Guangdong Leatop Technol Investment Co Ltd","Choi Kup-Sze, Hong Kong Polytech Univ","Heng Pheng-Ann, Chinese Univ Hong Kong"
Real-time dense traffic detection using lightweight backbone and improved path aggregation feature pyramid network,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000976621600001,[],2023.0,JCR 一区,"Guo Feng, Shandong University","Wang Yi, University of South Carolina System","Qian Yu, University of South Carolina System",,,,,
Semi-MoreGAN: Semi-supervised Generative Adversarial Network for Mixture of Rain Removal,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001008797000040,[],2023.0,JCR 一区,"Shen Yiyang, Nanjing University of Aeronautics & Astronautics","Wang Yongzhen, Nanjing University of Aeronautics & Astronautics","Wei Mingqiang, Nanjing University of Aeronautics & Astronautics","Chen Honghua, Nanjing University of Aeronautics & Astronautics","Xie Haoran, Lingnan University","Cheng Gary, Education University of Hong Kong (EdUHK)","Wang Fu Lee, Hong Kong Metropolitan University",
Last Decade in Vehicle Detection and Classification: A Comprehensive Survey,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000811428900002,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,2022.0,JCR 一区,"Maity Sourajit, Jadavpur University","Bhattacharyya Avirup, Jadavpur University","Singh Pawan Kumar, Jadavpur University","Kumar Munish, Maharaja Ranjit Singh Punjab Tech Univ","Sarkar Ram, Jadavpur University,IEEE Fellow, ACM Member",,,
Slicing-Based Reliable Resource Orchestration for Secure Software-Defined Edge-Cloud Computing Systems,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000752017900022,IEEE INTERNET OF THINGS JOURNAL,2022.0,JCR 一区,"Tang Jianhang, Yanshan University","Nie Jiangtian, Nanyang Technological University","Xiong Zehui, Singapore University of Technology & Design","Zhao Jun, Nanyang Technological University","Zhang Yang, Nanjing University of Aeronautics & Astronautics","Niyato Dusit, Nanyang Technological University,0",,
Real-Time Monocular Joint Perception Network for Autonomous Driving,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000754278300001,[],2022.0,JCR 一区,"Li Keqiang, Tsinghua University,中国工程院院士，汽车安全与节能国家重点实验室主任","Xiong Hui, Tsinghua University","Liu Jinxin, Tsinghua University","Xu Qing, Tsinghua University","Wang Jianqiang, Tsinghua University,国家级高层次人才，科技部中青年科技创新领军人才,教育部长江学者特聘教授,国家杰出青年科学基金获得者，国家杰出青年科学基金获得者，2007年度北京市科技新星，中国汽车工业秀青年科技人才",,,
Deep Learning for Unmanned Aerial Vehicle-Based Object Detection and Tracking: A Survey,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000732115900001,IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE,2021.0,JCR 一区,"Wu Xin, Qingdao University","Li Wei, Xidian University","Hong Danfeng, Qingdao Univ,中国科学院空天信息创新研究院, 遥感与数字地球重点实验室副主任","Tao Ran, Communaute Universite Grenoble Alpes","Du Qian, ,Fellow of SPIE and IEEE",,,
Pedestrian and Vehicle Detection in Autonomous Vehicle Perception Systems-A Review,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000718964000001,[],2021.0,JCR 二区,"Galvao Luiz G., Brunel University","Abbod Maysam, Brunel University,FIET, SMIEEE, CEng, SFHEA Member","Kalganova Tatiana, Brunel University","Palade Vasile, Coventry University","Huda Md Nazmul, Brunel University",,,
Forground-Guided Vehicle Perception Framework,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000681331400056,2020 25TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION (ICPR),2021.0,JCR 一区,"Tian Kun, Chinese Academy of Sciences","Zhou Tong, Chinese Academy of Sciences","Xiang Shiming, Chinese Academy of Sciences","Pan Chunhong, Chinese Academy of Sciences",,,,
YOLOv4-5D: An Effective and Efficient Object Detector for Autonomous Driving,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000633244500002,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,2021.0,JCR 一区,"Cai Yingfeng, Jiangsu University","Luan Tianyu, Jiangsu University","Gao Hongbo, Chinese Academy of Sciences","Wang Hai, Jiangsu University","Chen Long, Jiangsu University","Li Yicheng, Jiangsu University","Sotelo Miguel Angel, Universidad de Alcala","Li Zhixiong, Yonsei University"
Single-Image Real-Time Rain Removal Based on Depth-Guided Non-Local Features,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000608685000006,IEEE TRANSACTIONS ON IMAGE PROCESSING,2021.0,JCR 一区,"Hu Xiaowei, Chinese University of Hong Kong","Zhu Lei, Chinese University of Hong Kong","Wang Tianyu, Chinese University of Hong Kong","Fu Chi-Wing, Chinese University of Hong Kong","Heng Pheng-Ann, Chinese University of Hong Kong",,,
A steel surface defect inspection approach towards smart industrial monitoring,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000571362300001,JOURNAL OF INTELLIGENT MANUFACTURING,2020.0,JCR 一区,"Hao Ruiyang, Tsinghua University","Lu Bingyu, Tsinghua University","Cheng Ying, Beihang University","Li Xiu, Tsinghua University","Huang Biqing, Tsinghua University",,,
KL-DIVERGENCE-BASED REGION PROPOSAL NETWORK FOR OBJECT DETECTION,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000646178502022,2020 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP),2021.0,JCR 一区,"Seo Geonseok, Seoul National University (SNU)","Yoo Jaeyoung, Seoul National University (SNU)","Choi Jaeseok, Seoul National University (SNU)","Kwak Nojun, Seoul National University (SNU)",,,,
A Robust Vehicle Detection Scheme for Intelligent Traffic Surveillance Systems in Smart Cities,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000558137600001,IEEE ACCESS,2020.0,JCR 二区,"Wang Zhiyuan, Shanghai Normal University","Huang Jifeng, Shanghai Normal University","Xiong Neal N., Northeastern State University","Zhou Xiaoping, Shanghai Normal University","Lin Xiao, Shanghai Normal University","Ward Theodore Lee, Northeastern State University",,
CODAN: Counting-driven Attention Network for Vehicle Detection in Congested Scenes,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000810735000009,MM '20: PROCEEDINGS OF THE 28TH ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA,2020.0,JCR 一区,"Li Wei, Southwest Jiaotong University","Wang Zhenting, Southwest Jiaotong University","Wu Xiao, Southwest Jiaotong University","Zhang Ji, Southwest Jiaotong University","Peng Qiang, Southwest Jiaotong University","Li Hongliang, University of Electronic Science & Technology of China,国家杰出青年科学基金获得者，教育部新世纪优秀人才计划入选者，四川省学术和技术带头人，四川省天府创新领军人才，“智能视觉信息处理”四川省青年科技创新研究团队带头人",,
Environmental Sensitivity Evaluation of Neural Networks in Unmanned Vehicle Perception Module,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000569342900263,2020 IEEE WIRELESS COMMUNICATIONS AND NETWORKING CONFERENCE (WCNC),2020.0,JCR 一区,"Li Yuru, Peking University","Duan Dongliang, University of Wyoming","Chen Chen, Peking University,IEEE member, a Senior Member in China Institute of Communications, a Youth Commissioner in Beijing Institute of Communications, and a Council Member in Airline Public Communication Alliance of China","Cheng Xiang, Peking University,北京大学博雅特聘教授，博导，IEEE Fellow，国家杰青，中国工程院首届“中国工程前沿杰出青年学者”，IEEE亚太地区杰出青年研究学者，IEEE车辆技术协会杰出讲师（Distinguished Lecturer），爱思唯尔2020和2021年度“中国高被引学者”","Yang Liuying, Colorado State University",,,
